ID,Education
0,12th Pass
1,Graduate Professional
2,12th Pass
3,Graduate Professional
4,Graduate
5,Graduate
6,Graduate
7,Graduate Professional
8,Graduate
9,Graduate
10,Graduate Professional
11,Graduate Professional
12,Graduate Professional
13,Post Graduate
14,Graduate
15,Graduate
16,Graduate Professional
17,Graduate Professional
18,Graduate Professional
19,12th Pass
20,Graduate
21,Graduate
22,Graduate
23,Graduate
24,10th Pass
25,12th Pass
26,Graduate
27,12th Pass
28,Graduate
29,Graduate Professional
30,Post Graduate
31,Graduate
32,Graduate Professional
33,Graduate
34,12th Pass
35,Post Graduate
36,Post Graduate
37,Graduate
38,Graduate
39,Graduate
40,Post Graduate
41,Post Graduate
42,Graduate Professional
43,Post Graduate
44,Graduate
45,Graduate Professional
46,12th Pass
47,Post Graduate
48,Post Graduate
49,Graduate
50,Graduate Professional
51,Graduate Professional
52,Graduate
53,Graduate
54,Graduate Professional
55,Graduate
56,12th Pass
57,12th Pass
58,Post Graduate
59,Graduate
60,Graduate
61,Post Graduate
62,Graduate
63,Graduate
64,12th Pass
65,Graduate
66,Graduate
67,12th Pass
68,Graduate
69,Graduate Professional
70,Graduate
71,Post Graduate
72,Post Graduate
73,12th Pass
74,Graduate
75,Graduate
76,Graduate
77,Graduate
78,Post Graduate
79,Graduate Professional
80,Graduate Professional
81,Post Graduate
82,Graduate
83,12th Pass
84,Post Graduate
85,Post Graduate
86,12th Pass
87,Graduate Professional
88,Graduate
89,Graduate
90,Graduate
91,Graduate Professional
92,Graduate
93,Graduate
94,Graduate
95,12th Pass
96,Graduate Professional
97,Graduate
98,Graduate
99,Graduate
100,12th Pass
101,Graduate
102,Post Graduate
103,12th Pass
104,Graduate
105,10th Pass
106,Graduate Professional
107,10th Pass
108,12th Pass
109,Graduate Professional
110,12th Pass
111,Graduate
112,12th Pass
113,Post Graduate
114,Graduate
115,Post Graduate
116,Graduate
117,10th Pass
118,Graduate
119,Post Graduate
120,Graduate
121,Graduate
122,Graduate
123,12th Pass
124,Graduate
125,12th Pass
126,Post Graduate
127,Graduate
128,Graduate
129,Graduate
130,Graduate Professional
131,Graduate
132,Post Graduate
133,Graduate
134,Graduate
135,12th Pass
136,Graduate
137,Graduate
138,Post Graduate
139,Post Graduate
140,Post Graduate
141,Post Graduate
142,Post Graduate
143,Post Graduate
144,Graduate
145,Graduate
146,Graduate
147,Graduate
148,Graduate
149,Graduate
150,Graduate Professional
151,Graduate
152,Graduate
153,Graduate Professional
154,Graduate
155,Post Graduate
156,Graduate
157,Post Graduate
158,Graduate
159,12th Pass
160,12th Pass
161,Graduate
162,12th Pass
163,Graduate
164,12th Pass
165,Post Graduate
166,Graduate
167,12th Pass
168,12th Pass
169,Graduate
170,Graduate Professional
171,Post Graduate
172,12th Pass
173,12th Pass
174,Post Graduate
175,Graduate
176,Graduate
177,10th Pass
178,Graduate
179,Post Graduate
180,Post Graduate
181,Graduate Professional
182,Graduate
183,Graduate
184,Graduate
185,Graduate Professional
186,Graduate
187,12th Pass
188,Graduate
189,Graduate
190,Graduate
191,Graduate
192,Graduate
193,Post Graduate
194,Graduate Professional
195,12th Pass
196,Graduate
197,Graduate
198,Graduate
199,12th Pass
200,Graduate
201,Post Graduate
202,Graduate
203,Post Graduate
204,Graduate
205,Graduate
206,Post Graduate
207,Graduate
208,Graduate
209,Graduate
210,Graduate Professional
211,12th Pass
212,Post Graduate
213,12th Pass
214,Graduate Professional
215,Post Graduate
216,Post Graduate
217,Graduate
218,Graduate
219,Graduate
220,12th Pass
221,Graduate
222,Post Graduate
223,Post Graduate
224,Graduate Professional
225,Graduate
226,Post Graduate
227,Post Graduate
228,Post Graduate
229,Graduate
230,Graduate
231,Graduate
232,12th Pass
233,Graduate
234,Graduate
235,Graduate
236,Graduate Professional
237,Graduate Professional
238,Graduate
239,Graduate
240,Post Graduate
241,Post Graduate
242,Post Graduate
243,Graduate
244,Post Graduate
245,Post Graduate
246,12th Pass
247,Graduate Professional
248,Post Graduate
249,Post Graduate
250,Graduate Professional
251,12th Pass
252,Graduate
253,12th Pass
254,12th Pass
255,Graduate
256,12th Pass
257,12th Pass
258,Graduate
259,Post Graduate
260,Graduate
261,Post Graduate
262,Graduate
263,Graduate
264,Graduate
265,Graduate
266,12th Pass
267,Post Graduate
268,Post Graduate
269,Graduate
270,Graduate
271,Post Graduate
272,Graduate
273,Graduate
274,Graduate
275,Graduate
276,Graduate
277,Graduate
278,Graduate
279,Graduate
280,Graduate
281,10th Pass
282,Graduate
283,Graduate
284,Graduate
285,Graduate
286,Graduate
287,Graduate
288,12th Pass
289,Graduate Professional
290,Graduate
291,Post Graduate
292,Graduate
293,Graduate Professional
294,Graduate
295,12th Pass
296,Graduate
297,Graduate Professional
298,Post Graduate
299,Post Graduate
300,Graduate Professional
301,Graduate
302,Post Graduate
303,12th Pass
304,Graduate
305,12th Pass
306,Post Graduate
307,Post Graduate
308,Graduate
309,12th Pass
310,Graduate
311,Graduate Professional
312,10th Pass
313,Graduate
314,12th Pass
315,Post Graduate
316,Graduate
317,Graduate
318,Graduate
319,Graduate
320,Graduate
321,Graduate
322,Post Graduate
323,Post Graduate
324,Graduate Professional
325,Post Graduate
326,Graduate
327,Graduate
328,Graduate
329,Graduate
330,Graduate Professional
331,10th Pass
332,Post Graduate
333,Graduate
334,Graduate
335,Graduate
336,Graduate Professional
337,Graduate
338,Graduate
339,Graduate
340,Graduate Professional
341,Graduate Professional
342,Graduate Professional
343,12th Pass
344,10th Pass
345,Graduate
346,Graduate Professional
347,Graduate
348,Post Graduate
349,Graduate
350,Graduate Professional
351,Graduate Professional
352,Post Graduate
353,Graduate
354,Post Graduate
355,Post Graduate
356,Graduate Professional
357,Post Graduate
358,Post Graduate
359,Graduate
360,Graduate
361,Graduate
362,Graduate Professional
363,Graduate Professional
364,Graduate
365,Graduate Professional
366,10th Pass
367,Post Graduate
368,12th Pass
369,Graduate
