ID,Education
0,Graduate
1,Post Graduate
2,Graduate
3,Graduate Professional
4,Graduate Professional
5,Post Graduate
6,Post Graduate
7,Graduate
8,Post Graduate
9,12th Pass
10,Graduate Professional
11,Graduate Professional
12,Graduate
13,10th Pass
14,Graduate
15,Post Graduate
16,Graduate
17,Post Graduate
18,10th Pass
19,12th Pass
20,12th Pass
21,Graduate Professional
22,Graduate
23,12th Pass
24,Graduate
25,Post Graduate
26,Post Graduate
27,Graduate
28,Post Graduate
29,Graduate
30,Graduate
31,Post Graduate
32,10th Pass
33,Graduate
34,Graduate
35,Post Graduate
36,12th Pass
37,12th Pass
38,Graduate
39,Post Graduate
40,Graduate Professional
41,Post Graduate
42,Graduate Professional
43,Graduate
44,Graduate
45,Graduate
46,Post Graduate
47,Post Graduate
48,Graduate
49,12th Pass
50,Graduate Professional
51,Graduate
52,Graduate
53,Graduate
54,Graduate
55,Graduate
56,Graduate
57,Graduate
58,Graduate
59,10th Pass
60,Graduate Professional
61,Graduate
62,Graduate
63,Graduate
64,Graduate
65,Graduate
66,Post Graduate
67,Graduate Professional
68,Post Graduate
69,Graduate
70,12th Pass
71,12th Pass
72,Graduate
73,Graduate
74,Graduate
75,Graduate
76,Graduate
77,Graduate
78,12th Pass
79,10th Pass
80,Post Graduate
81,Graduate Professional
82,Graduate Professional
83,10th Pass
84,Graduate
85,Post Graduate
86,Post Graduate
87,Graduate Professional
88,Graduate
89,12th Pass
90,12th Pass
91,Graduate
92,Graduate
93,Graduate
94,Graduate
95,Graduate
96,Graduate
97,Graduate
98,Post Graduate
99,Graduate
100,10th Pass
101,Graduate
102,Graduate Professional
103,Graduate
104,Post Graduate
105,10th Pass
106,12th Pass
107,Graduate Professional
108,Graduate
109,Graduate
110,Graduate Professional
111,Graduate
112,Graduate
113,Graduate
114,Graduate
115,Post Graduate
116,Graduate
117,Graduate
118,10th Pass
119,Graduate Professional
120,Post Graduate
121,Post Graduate
122,Graduate Professional
123,Graduate
124,Graduate Professional
125,12th Pass
126,Graduate
127,Graduate Professional
128,Graduate
129,Graduate
130,Post Graduate
131,10th Pass
132,12th Pass
133,Graduate
134,Post Graduate
135,Post Graduate
136,Post Graduate
137,10th Pass
138,Graduate
139,Graduate
140,Graduate
141,Graduate Professional
142,Graduate
143,Post Graduate
144,Graduate
145,Post Graduate
146,Graduate
147,Post Graduate
148,12th Pass
149,12th Pass
150,Graduate Professional
151,Post Graduate
152,Graduate
153,Post Graduate
154,Graduate
155,Graduate
156,Graduate
157,Graduate
158,Graduate Professional
159,12th Pass
160,Post Graduate
161,Post Graduate
162,Graduate
163,Post Graduate
164,Post Graduate
165,Post Graduate
166,Post Graduate
167,Graduate
168,Graduate
169,10th Pass
170,12th Pass
171,Post Graduate
172,12th Pass
173,Post Graduate
174,Graduate Professional
175,Graduate
176,Graduate Professional
177,Graduate Professional
178,Graduate
179,12th Pass
180,Graduate
181,Graduate Professional
182,Graduate Professional
183,Graduate
184,Post Graduate
185,12th Pass
186,Post Graduate
187,10th Pass
188,12th Pass
189,Post Graduate
190,Graduate
191,10th Pass
192,Graduate
193,10th Pass
194,Graduate Professional
195,10th Pass
196,Post Graduate
197,12th Pass
198,Graduate
199,12th Pass
200,Graduate
201,10th Pass
202,Graduate
203,Post Graduate
204,Graduate
205,Post Graduate
206,Graduate Professional
207,12th Pass
208,Graduate
209,Graduate Professional
210,Graduate Professional
211,Graduate Professional
212,Graduate Professional
213,Graduate
214,Graduate Professional
215,Post Graduate
216,Graduate
217,Graduate
218,Graduate Professional
219,Graduate Professional
220,Graduate
221,Graduate
222,Graduate
223,Graduate
224,Graduate Professional
225,10th Pass
226,Graduate
227,Graduate Professional
228,Graduate Professional
229,Graduate
230,Post Graduate
231,12th Pass
232,Post Graduate
233,Graduate
234,Graduate
235,Graduate Professional
236,Graduate
237,12th Pass
238,12th Pass
239,12th Pass
240,Graduate
241,Graduate
242,Graduate
243,12th Pass
244,Graduate
245,Post Graduate
246,12th Pass
247,Post Graduate
248,Post Graduate
249,Post Graduate
250,Graduate
251,12th Pass
252,Graduate Professional
253,Post Graduate
254,10th Pass
255,Graduate
256,Graduate
257,12th Pass
258,Post Graduate
259,Graduate
260,Graduate
261,12th Pass
262,Graduate
263,Graduate
264,Post Graduate
265,Graduate
266,Graduate Professional
267,12th Pass
268,Graduate
269,Graduate
270,Graduate
271,Graduate Professional
272,Graduate
273,Post Graduate
274,Graduate
275,Graduate
276,Post Graduate
277,Graduate Professional
278,Graduate
279,Post Graduate
280,Graduate
281,12th Pass
282,Graduate
283,Graduate
284,12th Pass
285,Graduate
286,Graduate
287,Graduate
288,Graduate
289,Graduate
290,Graduate
291,Post Graduate
292,12th Pass
293,Graduate
294,Graduate
295,12th Pass
296,Graduate
297,Graduate Professional
298,Graduate
299,Post Graduate
300,Graduate
301,12th Pass
302,Post Graduate
303,Post Graduate
304,Graduate
305,Post Graduate
306,Post Graduate
307,10th Pass
308,10th Pass
309,Post Graduate
310,Graduate
311,Graduate Professional
